scenario_id,feature_combination,metric,n_features,features,cv_mean_score,cv_std_score,best_params,training_wells,n_cv_splits,trained_at,rank
FC_13_fc6_rt_custom_sand,FC_13_fc6_rt,custom_sand,16,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT']",0.3917111043007469,0.0822887694862987,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:59:01,1
FC_10_fc3_rt_custom_sand,FC_10_fc3_rt,custom_sand,8,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'RT']",0.388663357745215,0.0673221937313703,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:40:59,2
FC_09_fc6_all_eng_custom_sand,FC_09_fc6_all_eng,custom_sand,18,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.3840076232810758,0.0357946449915033,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:35:31,3
FC_07_fc6_opposition_custom_sand,FC_07_fc6_opposition,custom_sand,16,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex']",0.3829761170871849,0.0420725461003397,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:24:12,4
FC_08_fc6_ntg_custom_sand,FC_08_fc6_ntg,custom_sand,17,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope']",0.382644108511588,0.0421383395209438,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:30:02,5
FC_06_fc3_lith_relpos_grtex_custom_sand,FC_06_fc3_lith_relpos_grtex,custom_sand,15,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration']",0.3787016211776114,0.0489734766824516,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:18:27,6
FC_13_fc6_rt_f1_weighted,FC_13_fc6_rt,f1_weighted,16,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT']",0.3733265851035515,0.0750300482146965,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:55:17,7
FC_05_fc3_lith_relpos_custom_sand,FC_05_fc3_lith_relpos,custom_sand,13,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.3724030660136453,0.04258746222962,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:13:48,8
FC_10_fc3_rt_f1_weighted,FC_10_fc3_rt,f1_weighted,8,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'RT']",0.3689135368533345,0.0631656689411945,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:37:21,9
FC_07_fc6_opposition_f1_weighted,FC_07_fc6_opposition,f1_weighted,16,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex']",0.368677598250408,0.0446251069794918,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:20:15,10
FC_09_fc6_all_eng_f1_weighted,FC_09_fc6_all_eng,f1_weighted,18,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.3656230296333795,0.041133707043616,"{'classifier__max_depth': 25, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:31:47,11
FC_08_fc6_ntg_f1_weighted,FC_08_fc6_ntg,f1_weighted,17,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope']",0.3654371884938096,0.0443343406643786,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:25:55,12
FC_15_fc6_all_fluid_custom_sand,FC_15_fc6_all_fluid,custom_sand,18,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT', 'RD', 'SW']",0.3612301532594744,0.0600617694641424,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:10:29,13
FC_06_fc3_lith_relpos_grtex_f1_weighted,FC_06_fc3_lith_relpos_grtex,f1_weighted,15,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration']",0.3588165282451283,0.0537819903829875,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:15:12,14
FC_05_fc3_lith_relpos_f1_weighted,FC_05_fc3_lith_relpos,f1_weighted,13,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos']",0.3555792952342441,0.0459140076990574,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:10:43,15
FC_18_tidal_optimized_custom_sand,FC_18_tidal_optimized,custom_sand,13,"['GR', 'RT', 'NPHI', 'RHOB', 'VSH', 'PHIF', 'SW', 'GR_Slope', 'GR_Serration', 'RelPos', 'BaseSharpness', 'OppositionIndex', 'NTG_Slope']",0.3546894123967182,0.0852781423227713,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:26:48,16
FC_14_fc6_rt_rd_custom_sand,FC_14_fc6_rt_rd,custom_sand,17,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT', 'RD']",0.354070890934481,0.0614252183126069,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:04:43,17
FC_04_fc3_lith_custom_sand,FC_04_fc3_lith,custom_sand,12,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4']",0.3488758848801968,0.0584332186470231,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:09:05,18
FC_17_max_features_custom_sand,FC_17_max_features,custom_sand,21,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.3463698240944906,0.0553146382052538,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:21:39,19
FC_15_fc6_all_fluid_f1_weighted,FC_15_fc6_all_fluid,f1_weighted,18,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT', 'RD', 'SW']",0.3443684542252904,0.0523042916621133,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:06:39,20
FC_18_tidal_optimized_f1_weighted,FC_18_tidal_optimized,f1_weighted,13,"['GR', 'RT', 'NPHI', 'RHOB', 'VSH', 'PHIF', 'SW', 'GR_Slope', 'GR_Serration', 'RelPos', 'BaseSharpness', 'OppositionIndex', 'NTG_Slope']",0.3403565460381669,0.0775647565141767,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:23:22,21
FC_14_fc6_rt_rd_f1_weighted,FC_14_fc6_rt_rd,f1_weighted,17,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'RT', 'RD']",0.3394143526425875,0.0543022967916704,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:00:54,22
FC_03_add_perm_custom_sand,FC_03_add_perm,custom_sand,7,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH']",0.3336824348788283,0.0611049696894479,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:04:41,23
FC_17_max_features_f1_weighted,FC_17_max_features,f1_weighted,21,"['GR', 'VSH', 'RT', 'RD', 'NPHI', 'RHOB', 'DT', 'PHIF', 'SW', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'NTG_Slope', 'BaseSharpness']",0.3305992337548132,0.0466892997367818,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:18:05,24
FC_04_fc3_lith_f1_weighted,FC_04_fc3_lith,f1_weighted,12,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'Lithology_0', 'Lithology_1', 'Lithology_2', 'Lithology_3', 'Lithology_4']",0.33059467738839,0.0592449779687811,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:06:16,25
FC_11_fc3_rt_rd_custom_sand,FC_11_fc3_rt_rd,custom_sand,9,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'RT', 'RD']",0.3299110907356639,0.0696971222540247,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:47:14,26
FC_12_fc3_rt_rd_sw_custom_sand,FC_12_fc3_rt_rd_sw,custom_sand,10,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'RT', 'RD', 'SW']",0.3266397399041563,0.057265347209045,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:53:25,27
FC_03_add_perm_f1_weighted,FC_03_add_perm,f1_weighted,7,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH']",0.3177952136493271,0.0576041626664727,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:01:29,28
FC_11_fc3_rt_rd_f1_weighted,FC_11_fc3_rt_rd,f1_weighted,9,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'RT', 'RD']",0.3128001881225602,0.0612607426358307,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:43:06,29
FC_02_rock_clean_custom_sand,FC_02_rock_clean,custom_sand,5,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT']",0.3105642537635987,0.0837253712043342,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 21:59:48,30
FC_12_fc3_rt_rd_sw_f1_weighted,FC_12_fc3_rt_rd_sw,f1_weighted,10,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT', 'PHIF', 'KLOGH', 'RT', 'RD', 'SW']",0.3095144075927055,0.0491816466270335,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 22:49:17,31
FC_02_rock_clean_f1_weighted,FC_02_rock_clean,f1_weighted,5,"['GR', 'VSH', 'NPHI', 'RHOB', 'DT']",0.2984108707714867,0.0784344583638084,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 21:56:44,32
FC_16_measured_only_custom_sand,FC_16_measured_only,custom_sand,11,"['GR', 'RT', 'NPHI', 'RHOB', 'RD', 'DT', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.2727652949865914,0.0552758755916433,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:16:04,33
FC_01_rock_only_custom_sand,FC_01_rock_only,custom_sand,3,"['NPHI', 'RHOB', 'DT']",0.2700641987621698,0.0694990372704414,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 21:55:08,34
FC_01_rock_only_f1_weighted,FC_01_rock_only,f1_weighted,3,"['NPHI', 'RHOB', 'DT']",0.2668199299471184,0.0657915421198777,"{'classifier__max_depth': 15, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 21:52:51,35
FC_16_measured_only_f1_weighted,FC_16_measured_only,f1_weighted,11,"['GR', 'RT', 'NPHI', 'RHOB', 'RD', 'DT', 'RelPos', 'GR_Slope', 'GR_Serration', 'OppositionIndex', 'BaseSharpness']",0.2648087380657833,0.0517368742524186,"{'classifier__max_depth': 20, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 100}","['15_9-F-12', '15_9-F-14', '15_9-F-15_C', '15_9-F-5']",4,2026-01-02 23:12:20,36
